City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,78.46,broken clouds,-23.1203,-134.9692,Chez Bianca & Benoit
5,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti International Resort
7,Gisborne,NZ,62.55,overcast clouds,-38.6533,178.0042,Portside Hotel
14,Richards Bay,ZA,71.15,light rain,-28.783,32.0377,Protea Hotel
17,Sao Bento Do Sul,BR,90.21,scattered clouds,-26.2503,-49.3786,Araucária Hostel
21,Punta Arenas,CL,62.71,scattered clouds,-53.15,-70.9167,Hotel Lacolet
25,Sao Filipe,CV,72.09,broken clouds,14.8961,-24.4956,Bela Vista
37,Port Lincoln,AU,61.14,clear sky,-34.7333,135.8667,Boston Hotel
39,Banjar,ID,77.11,overcast clouds,-8.19,114.9675,Villa Banjar Beach
40,Pisco,PE,75.25,clear sky,-13.7,-76.2167,La Portada
44,La Cumbre,AR,73.45,moderate rain,-30.982,-64.4914,Hostería San Martín
45,Vieux-Habitants,GP,81.97,clear sky,16.0589,-61.7659,"Gîtes ""Les Cocotiers"""
46,Cape Town,ZA,81.01,clear sky,-33.9258,18.4232,Townhouse Hotel
50,Lethem,GY,89.73,broken clouds,3.3803,-59.7968,Hotel Amazonas
55,Ambulu,ID,75.0,overcast clouds,-8.345,113.6058,Hotel Ambulu
57,Atuona,PF,78.71,light rain,-9.8,-139.0333,Pearl Resort
64,Puerto Ayora,EC,82.36,light rain,-0.7393,-90.3518,Hostal La Mirada De Solitario George
65,Fare,PF,80.4,clear sky,-16.7,-151.0167,hôtel Maitai Lapita Village
67,Salalah,OM,73.49,clear sky,17.0151,54.0924,Muscat International Hotel
68,Maragogi,BR,84.6,scattered clouds,-9.0122,-35.2225,Pousada Mariluz
69,Port Elizabeth,ZA,69.1,scattered clouds,-33.918,25.5701,Waterford Hotel
70,Caravelas,BR,84.49,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
71,Ndola,ZM,66.65,light rain,-12.9587,28.6366,Starscape Hotel
72,Inirida,CO,90.61,scattered clouds,3.8653,-67.9239,Residencias El Turista del Guainia
77,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Hotel SkylineInn
78,Hermanus,ZA,71.8,overcast clouds,-34.4187,19.2345,Aloe guest house
80,New Norfolk,AU,60.3,broken clouds,-42.7826,147.0587,Woodbridge on the Derwent
86,Castro,BR,82.06,few clouds,-24.7911,-50.0119,Hotel Central Palace
88,Geraldton,AU,82.81,broken clouds,-28.7667,114.6,Ocean Centre Hotel
89,Christchurch,NZ,63.91,mist,-43.5333,172.6333,Ibis Hotel Christchurch
90,Kapaa,US,71.92,moderate rain,22.0752,-159.319,Pono Kai Resort
