City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jumla,NP,2023-01-29 16:15:45,29.2747,82.1838,34.2,58,0,7.99,clear sky
1,Tasiilaq,GL,2023-01-29 16:12:31,65.6145,-37.6368,17.76,75,35,5.61,scattered clouds
2,Dhidhdhoo,MV,2023-01-29 16:09:30,6.8833,73.1,80.53,73,8,10.92,clear sky
3,Rikitea,PF,2023-01-29 16:12:31,-23.1203,-134.9692,78.46,74,72,10.71,broken clouds
4,Kibala,TD,2023-01-29 16:15:45,9.1104,18.3463,98.78,9,8,4.85,clear sky
5,Vaini,TO,2023-01-29 16:12:34,-21.2,-175.2,75.36,94,20,0.0,few clouds
6,Kruisfontein,ZA,2023-01-29 16:15:46,-34.0033,24.7314,66.88,56,97,15.14,overcast clouds
7,Gisborne,NZ,2023-01-29 16:15:46,-38.6533,178.0042,62.55,94,100,6.04,overcast clouds
8,Akdepe,TM,2023-01-29 16:15:47,42.0551,59.3788,30.92,42,6,9.89,clear sky
9,Carson City,US,2023-01-29 16:13:57,39.1638,-119.7674,33.33,73,100,10.36,overcast clouds
10,Derzhavinsk,KZ,2023-01-29 16:15:47,51.1,66.3167,-1.61,97,20,7.34,few clouds
11,Tommot,RU,2023-01-29 16:12:16,58.9564,126.2925,-24.36,100,100,0.98,overcast clouds
12,Nome,US,2023-01-29 16:15:48,64.5011,-165.4064,33.87,80,100,13.8,overcast clouds
13,Slave Lake,CA,2023-01-29 16:15:14,55.2834,-114.769,-4.09,95,76,1.54,broken clouds
14,Richards Bay,ZA,2023-01-29 16:15:48,-28.783,32.0377,71.15,74,100,12.46,light rain
15,Bluff,NZ,2023-01-29 16:14:00,-46.6,168.3333,56.41,78,71,9.73,broken clouds
16,Madridejos,ES,2023-01-29 16:15:49,39.4682,-3.532,41.9,53,84,9.8,broken clouds
17,Sao Bento Do Sul,BR,2023-01-29 16:15:49,-26.2503,-49.3786,90.21,31,38,2.73,scattered clouds
18,Yellowknife,CA,2023-01-29 16:06:57,62.456,-114.3525,-24.45,74,100,3.0,overcast clouds
